error,Model
489.74462890625,DNN-2
-264.1968994140625,DNN-2
-3583.502685546875,DNN-2
1252.3251953125,DNN-2
255.7655029296875,DNN-2
195.4288330078125,DNN-2
-22.0850830078125,DNN-2
-1409.801513671875,DNN-2
-2387.8988037109375,DNN-2
138.4970703125,DNN-2
-52606.46484375,DNN-2
-65.15380859375,DNN-2
-2474.239013671875,DNN-2
140.302001953125,DNN-2
-58835.09375,DNN-2
-975.080078125,DNN-2
-232.90478515625,DNN-2
-58.4521484375,DNN-2
-3766.28466796875,DNN-2
475.717041015625,DNN-2
-71.5205078125,DNN-2
670.453369140625,DNN-2
-2354.303466796875,DNN-2
-3277.2496337890625,DNN-2
375.328125,DNN-2
-96.5545654296875,DNN-2
666.02734375,DNN-2
-12960.677856445312,DNN-2
35293.2578125,DNN-2
303.3218994140625,DNN-2
10661.822265625,DNN-2
563.743896484375,DNN-2
752.46826171875,DNN-2
29446.6875,DNN-2
781.699462890625,DNN-2
8407.359375,DNN-2
-77972.22216796875,DNN-2
-1754.87255859375,DNN-2
1181.676025390625,DNN-2
611.1668701171875,DNN-2
1023.25341796875,DNN-2
